testv3.txt opened
> offset: 13032, typeID: 4, length: 17
> offset: 13052, typeID: 1, length: 57
> offset: 13112, typeID: 3, length: 21
> offset: 13125, typeID: 18, length: 31
> offset: 13136, typeID: 5, length: 20
> offset: 13159, typeID: 17, length: 35
> offset: 13197, typeID: 1, length: 57
> offset: 13229, typeID: 4, length: 207
> offset: 13257, typeID: 5, length: 20
> offset: 13294, typeID: 5, length: 20
> offset: 13317, typeID: 17, length: 35
> offset: 13355, typeID: 1, length: 57
> offset: 13366, typeID: 20, length: 16
> offset: 13415, typeID: 3, length: 21
> offset: 13485, typeID: 1, length: 57
> offset: 13545, typeID: 3, length: 21
> offset: 13569, typeID: 5, length: 20
> offset: 13592, typeID: 1, length: 57
> offset: 13652, typeID: 5, length: 20
> offset: 13675, typeID: 17, length: 35
> offset: 13713, typeID: 1, length: 57
> offset: 13773, typeID: 5, length: 20
> offset: 13774, typeID: 20, length: 171
> offset: 13796, typeID: 1, length: 57
> offset: 13856, typeID: 5, length: 20
> offset: 13875, typeID: 16, length: 248
> offset: 13879, typeID: 17, length: 35
> offset: 13948, typeID: 1, length: 57
> offset: 14008, typeID: 5, length: 20
> offset: 14031, typeID: 1, length: 57
> offset: 14066, typeID: 2, length: 196
> offset: 14091, typeID: 8, length: 32
> offset: 14126, typeID: 5, length: 20
> offset: 14149, typeID: 17, length: 35
> offset: 14187, typeID: 2, length: 75
> offset: 14265, typeID: 1, length: 57
> offset: 14325, typeID: 5, length: 20
> offset: 14348, typeID: 1, length: 57
> offset: 14408, typeID: 5, length: 20
> offset: 14431, typeID: 17, length: 35
> offset: 14469, typeID: 1, length: 57
> offset: 14543, typeID: 5, length: 20
> offset: 14566, typeID: 1, length: 57
> offset: 14626, typeID: 3, length: 21
> offset: 14650, typeID: 5, length: 20
> offset: 14673, typeID: 17, length: 35
> offset: 14705, typeID: 20, length: 239
> offset: 14757, typeID: 1, length: 57
> offset: 14817, typeID: 3, length: 21
> offset: 14841, typeID: 5, length: 20
> offset: 14864, typeID: 1, length: 57
> offset: 14924, typeID: 5, length: 20
> offset: 14947, typeID: 17, length: 35
> offset: 14985, typeID: 1, length: 57
> offset: 15045, typeID: 5, length: 20
> offset: 15068, typeID: 1, length: 57
> offset: 15128, typeID: 13, length: 112
> offset: 15243, typeID: 19, length: 4
> offset: 15281, typeID: 5, length: 20
> offset: 15304, typeID: 17, length: 35
> offset: 15342, typeID: 1, length: 57
> offset: 15402, typeID: 5, length: 20
> offset: 15425, typeID: 17, length: 35
> offset: 15463, typeID: 1, length: 57
> offset: 15523, typeID: 8, length: 32
> offset: 15558, typeID: 2, length: 75
> offset: 15619, typeID: 13, length: 128
> offset: 15636, typeID: 5, length: 20
> offset: 15659, typeID: 1, length: 57
> offset: 15719, typeID: 5, length: 20
> offset: 15740, typeID: 1, length: 255
> offset: 15742, typeID: 17, length: 35
> offset: 15780, typeID: 1, length: 57
> offset: 15788, typeID: 4, length: 49
> offset: 15840, typeID: 5, length: 20
> offset: 15863, typeID: 1, length: 57
> offset: 15937, typeID: 5, length: 20
> offset: 15960, typeID: 17, length: 35
> offset: 15998, typeID: 1, length: 57
> offset: 16058, typeID: 3, length: 21
